編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,資料量,下載次數,主要欄位
157,臺北市停車場資訊,臺北市停車管理工程處,臺北市政府,停車管理工程處,1606,,"靜態資料:
UpdateTime：靜態資料更新時間
ID：停車場的編號
AREA：行政區
NAME：停車場名稱
TYPE: 1:動態停車場(可取得目前剩餘車位數) 2:靜態停車場
TYPE2: 1:停管處經營 2:非停管處經營
SUMMARY：停車場概況
ADDRESS：停車場地址
TEL：停車場電話
PAYEX：停車場收費資訊
TOTALCAR：停車場（汽車）總車位數
TOTALMOTOR：停車場（機車）總格位數
TOTALBIKE：停車場（腳踏車）總車架數
TOTALBUS：停車場（大客車）總車位數
Pregnancy_First：孕婦優先車格位數
Handicap_First：身障車格位數
TOTALLARGEMOTOR：重機停車位數
ChargingStation：充電站數
SERVICETIME:開放時間
TW97X:TWD97 X座標值
TW97Y: TWD97 Y座標值
    FareInfo：費率資訊
     WorkingDay：一般日
      Period：某時段（例如：00～09表示凌晨0時至上午9時）
      Fare：一般費率
     Holiday：假日
      Period：某時段
      Fare：假日費率
    Entrancecoord：入口座標資訊
     EntrancecoordInfo：某一入口
      Xcod：WGS  X座標值（經度）
      Ycod：WGS  Y座標值（緯度）
      Addresss：地址

  動態資料:
UpdateTime：動態資料更新時間
PARK：某一停車場的資料
ID：停車場的編號
AVAILABLECAR：停車場（汽車）目前之剩餘車位數，要是數值等於-9，表示本停車場目前無法提供即時車位數資訊。
AVAILABLEMOTOR：停車場（機車）目前之剩餘格位數，要是數值等於-9，表示本停車場目前無法提供即時格位數資訊。
AVAILABLEBUS：停車場（大客車）目前之剩餘車位數，要是數值等於-9，表示本停車場目前無法提供即時車位數資訊。
ALT_PAK1：依由近而遠之距離提供滿場替代停車場ID編號
ALT_PAK2：依由近而遠之距離提供滿場替代停車場ID編號
ALT_PAK3：依由近而遠之距離提供滿場替代停車場ID編號
"
158,替代役役男家屬安家費暨三節生活扶助金統計表,臺北市政府兵役局,臺北市政府,兵役局,13,,"鄉鎮市區別,合計發給戶數,合計發給口數,合計金額,一次安家費小計發給戶數,一次安家費小計發給口數,一次安家費小計金額,一次安家費甲級發給戶數,一次安家費甲級發給口數,一次安家費甲級金額,一次安家費乙級發給戶數,一次安家費乙級發給口數,一次安家費乙級金額,一次安家費丙級發給戶數,一次安家費丙級發給口數,一次安家費丙級金額,三節生活扶助金小計發給戶數,三節生活扶助金小計發給口數,三節生活扶助金小計金額,三節生活扶助金甲級發給戶數,三節生活扶助金甲級發給口數,三節生活扶助金甲級金額,三節生活扶助金乙級發給戶數,三節生活扶助金乙級發給口數,三節生活扶助金乙級金額,三節生活扶助金丙級發給戶數,三節生活扶助金丙級發給口數,三節生活扶助金丙級金額"
159,常備兵役役男家屬安家費暨三節生活扶助金統計表,臺北市政府兵役局,臺北市政府,兵役局,13,,"鄉鎮市區別,合計發給戶數,合計發給口數,合計金額,一次安家費小計發給戶數,一次安家費小計發給口數,一次安家費小計金額,一次安家費甲級發給戶數,一次安家費甲級發給口數,一次安家費甲級金額,一次安家費乙級發給戶數,一次安家費乙級發給口數,一次安家費乙級金額,一次安家費丙級發給戶數,一次安家費丙級發給口數,一次安家費丙級金額,三節生活扶助金小計發給戶數,三節生活扶助金小計發給口數,三節生活扶助金小計金額,三節生活扶助金甲級發給戶數,三節生活扶助金甲級發給口數,三節生活扶助金甲級金額,三節生活扶助金乙級發給戶數,三節生活扶助金乙級發給口數,三節生活扶助金乙級金額,三節生活扶助金丙級發給戶數,三節生活扶助金丙級發給口數,三節生活扶助金丙級金額"
160,列管後備軍人動態統計表,臺北市政府兵役局,臺北市政府,兵役局,7,,"軍階,役?,上月列管人數,增加數小計,增加數退伍報到,增加數停役報到,增加數零退報到,增加數遷入,增加數轉役入,增加數其他,減少數小計,減少數遷出,減少數志願服役,減少數轉役出,減少數免役,減少數回役,減少數除役,減少數禁役,減少數死亡,減少數其他,本月列管人數,本月中出國,本月中失蹤人口,本月中失蹤撤銷,本月中回國,本月中區內住變,備註"
161,軍人公墓(忠靈祠)葬厝表,臺北市政府兵役局,臺北市政府,兵役局,1,,"公墓名稱,納骨堂塔容量單櫃,納骨堂塔容量雙櫃,納骨堂塔上期底已存厝現役單櫃,納骨堂塔上期底已存厝現役雙櫃,納骨堂塔上期底已存厝退除役單櫃,納骨堂塔上期底已存厝退除役雙櫃,納骨堂塔本期底淨存厝現役單櫃,納骨堂塔本期底淨存厝現役雙櫃,納骨堂塔本期底淨存厝退除役單櫃,納骨堂塔本期底淨存厝退除役雙櫃,納骨堂塔累計存厝單櫃,納骨堂塔累計存厝雙櫃,納骨堂塔餘容量單櫃,納骨堂塔餘容量雙櫃,土葬容量,土葬上期底已安葬現役,土葬上期底已安葬退除役,土葬本期淨安葬現役,土葬本期淨安葬退除役,土葬累計已安葬,土葬餘容量"
162,臺北市噪音稽查處分概況年報表,臺北市政府環境保護局,臺北市政府,環保局,,,污染類別及處分情形
163,臺北市空氣污染稽查處分概況年報表,臺北市政府環境保護局,臺北市政府,環保局,,,污染類別及處分情形
164,臺北市機動車輛排放空氣污染物檢查、檢驗告發情形季報表,臺北市政府環境保護局,臺北市政府,環保局,,,污染類別及車輛別
165,臺北市政府環境保護局污染源稽查(查核)處分概況月報表,臺北市政府環境保護局,臺北市政府,環保局,,,污染類別及稽查處分概況
166,臺北市公害陳情案件受理統計月報表,臺北市政府環境保護局,臺北市政府,環保局,,,被陳情對象別及污染源別
167,山坡地違規潛勢分級圖層,臺北市政府工務局大地工程處,臺北市政府,工務局,1筆,, 違規潛勢值
168,臺北市土地可利用限度圖,臺北市政府工務局大地工程處,臺北市政府,工務局,1筆,,"年度、行政區、段、小段、代碼、地號、面積、土地權屬、查定結果。
已公告之查定結果，包括部份加強保育地、宜林地"
169,山坡地違反水土保持法處分案件,臺北市政府工務局大地工程處,臺北市政府,工務局,1筆,,X座標(TWD67)、Y座標(TWD67)、違規類別、面積(公頃)、處分日期、罰鍰金額(萬元)、處罰次別、暫停開發2年
170,臺北市河濱廁所,臺北市政府工務局水利工程處,臺北市政府,工務局,259,,位置描述、類型
171,本府一級機關經管公有公用土地清冊(國有),臺北市政府財政局,臺北市政府,財政局,773,,管理機關、標示名稱、宗地面積、持分面積
172,臺北市政府違反職業安全衛生法事業單位及事業主公布總表,臺北市政府勞動局,臺北市政府,勞動局,2636,,"公告日期；
處分日期；
處分字號；
事業單位名稱／自然人姓名；
負責人；
違反職業安全衛生法條款；
違反法規內容；
備註"
173,臺北市政府105年度歲入預算執行情形,臺北市政府財政局,臺北市政府,財政局,0筆,,"科目、全年度預算數、本月分配數、本月實收數、本月分配預算與實收比較、分配預算累計數、實收累計數、分配預算累計與實收累計比較、實收累計數占年度預算%、實收累計數占分配預算%。
"
174,本府各機關任務編組檢討,臺北市政府人事處,臺北市政府,人事處,1,,"1.參照前一年檢討原則訂定當年度檢討原則，函轉各一級機關進行檢討。
2.將各機關檢討結果及本處審核意見簽核，並轉知各一級機關。"
175,獎懲月報表,臺北市政府人事處,臺北市政府,人事處,約972KB,,機關名稱、行政懲處、行政獎勵、懲戒處分
176,役男徵兵檢查體位判等因素分析統計表,臺北市政府兵役局,臺北市政府,兵役局,193,,"項次,病名,常備役暨常備役甲,常備役乙,常備役暨替代役甲,替代役乙,免役,體位未定,專科檢查,合計"
177,役男徵兵檢查BMI值統計表,臺北市政府兵役局,臺北市政府,兵役局,43,,"BMI值體位,人數,百分比,總計"
178,役男徵兵檢查人數統計表,臺北市政府兵役局,臺北市政府,兵役局,13,,"年次,判定體位檢查人數,判定體位常備役體位暨常甲,判定體位常備役乙等,判定體位替代役體位暨替甲,判定體位替代役乙等,判定體位免役體位,判定體位體位未定,判定體位專科檢查,身心障礙書面審核,役男體檢住所檢查,役男體檢重點檢查,未受檢查合計,未受檢查在學緩徵,未受檢查報考大專,未受檢查現役軍警,未受檢查因素緩徵,未受檢查出境,未受檢查僑民役男,未受檢查其他"
179,府層級任務編組設置要點訂定、更名及停止適用,臺北市政府人事處,臺北市政府,人事處,1,,各機關函報訂定、更名或停止適用府層級任務編組設置要點案
180,營造工程物價指數,臺北市政府主計處,臺北市政府,主計處,7檔,,統計期、統計項目、統計資料、資料來源、附註、更新日期。
181,臺北市政府違反性別工作平等法事業單位及事業主公布總表,臺北市政府勞動局,臺北市政府,勞動局,34,,"項次；
事業單位名稱；
違反性別工作平等法條款；
違反法規內容；
處分書文號；
處分日期；
備註；"
182,消費者物價指數,臺北市政府主計處,臺北市政府,主計處,12檔,,統計期、統計項目、統計資料、資料來源、附註、更新日期。
183,臺北市數值地籍地段圖,臺北市政府地政局土地開發總隊,臺北市政府,地政局,558筆,,座標(97)
184,臺北市商圈通訊錄,臺北市商業處,臺北市政府,商業處,44,,商圈名稱、商圈組織、商圈聯絡方式、商圈通訊地址
185,水文、氣象月報表,臺北翡翠水庫管理局,臺北市政府,翡翠水庫管理局,,,氣象站氣象月報表主要欄位為風速 、風向、氣壓、日輻射量、蒸發量、相對溼度等。雨量站雨量月報表主要欄位為翡 翠、坪 林、集水區等雨量。水位站水位月報表主要欄位為翡翠等站水位及流量。S
186,新北市站牌,臺北市公共運輸處,臺北市政府,公共運輸處,,,"Id	站牌代碼
routeId	所屬路線代碼 (主路線 ID)
nameZh	中文名稱
nameEn	英文名稱
seqNo	於路線上的順序
pgp	上下車站別 （-1：可下車、0：可上下車、1：可上車）
goBack	去返程 （0：去程 / 1：返程 / 2：未知）
longitude	經度
latitude	緯度
address	地址
stopLocationId	站位 ID
showLon	顯示用經度
showLat	顯示用緯度
vector	向量角：0~359，預設為空白
"
187,水庫運轉月報表,臺北翡翠水庫管理局,臺北市政府,翡翠水庫管理局,30kb,,"日期	、翡翠水庫日平均水位(公尺)、水庫有效蓄水量(百萬立方公尺)、集水區平均雨量(毫米)、水庫進流量(立方公尺)、水庫放流量(立方公尺)、進流量－放流量(立方公尺)、南勢溪流量(立方公尺)及南北勢溪合計原水量(立方公尺)



　




"
188,臺北市區民活動中心資料,臺北市政府民政局,臺北市政府,民政局,158,,編號(serial_number_1)、區(distrrict)、區活動中心編號(serial_number_2)、區民活動中心名稱(name)、地址(address)
189,公告臺北市政府公共債務情形,臺北市政府財政局,臺北市政府,財政局,1,,年度、月份、一年以上債務未償餘額、未滿一年債務未償餘額、平均每人負擔債務、自償性債務未償餘額（含非營業特種基金）(單位：元)。
190,自82年度起臺北市各年度債務未償餘額實際數表,臺北市政府財政局,臺北市政府,財政局,1,,年度、債務未償餘額實際數(單位：億元)。
191,公告臺北市政府自105年1月起最新債務訊息,臺北市政府財政局,臺北市政府,財政局,1,,項目(自105年1月起)、1年以上債務未償餘額、短期債務未償餘額、平均每人負擔債務、自償性債務未償餘額(含非營業特種基金)(單位:新臺幣元)。
192,105年臺北市旅遊服務中心服務人次統計表,臺北市政府觀光傳播局,臺北市政府,觀光傳播局,7,,"月份,服務人次總計"
193,役男申請複檢案件統計表,臺北市政府兵役局,臺北市政府,兵役局,5,,"複檢醫院,公費人數,自費人數,合計"
194,臺北市鄰界圖,臺北市政府民政局,臺北市政府,民政局,9595筆,,本項資料為shape file 格式，請解壓縮，其內容有：區名(SECT_NAME)、區代碼(SECT_CODE)、里名(LIE_NAME)、里代碼(LIE_CODE)、鄰別(LI_NO)
195,未結案工程統計表,臺北市政府工務局,臺北市政府,工務局,120,,包含：項次，預算年度，主辦機關，工程名稱，契約編號，工程地點，施工廠商，決標金額，變更後契約金額，預定完工日期，修正完工日期，實際完工日期，驗收列管，驗收日期(實際)，複驗列管，驗收複驗(實際)，原定預定結案日期，修正預定結案日期  等欄位。
196,在建工程統計表,臺北市政府工務局,臺北市政府,工務局,262,,"包含：項次，主辦機關，工程名稱，契約編號，發包工程費，決標金額，最後契約總價，施工廠商（名稱），工程內容，開工日期，預定完工日期，修正預定完工日期，實際進度
(%)，自辦或代辦等欄位"
